distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
8;2248;"SIERRA ATAPUERCA - PSO. TIERRA MELIDE";"28/07/2016";443673.593756366;4484304.710263941;-3.66481713031384;40.50754695218292
8;2261;"PALAS DEL REY - SAN JULIAN DEL CAMINO - TRIACASTELA";"15/02/2017";443139.743167052;4484549.863315014;-3.67113974330257;40.50971896704292
10;474;"ILLESCAS - SESEÑA";"23/11/1971";435028.574445848;4472078.91575853;-3.76559470121424;40.39678143282967
10;475;"ILLESCAS - ESCALONA";"23/11/1971";435139.242240123;4471948.618770614;-3.76427747828323;40.39561629425774
10;1270;"MAQUEDA - ESCALONA";"29/05/1991";435034.570752862;4471907.913820623;-3.76550660266322;40.39524145038023
10;619;"PADRE PIQUER - SESEÑA";"09/05/1974";434786.887155121;4471879.071514053;-3.76842192858999;40.39496227117889
10;1591;"PADRE PIQUER 14 - P.P.";"01/07/1999";434829.450568581;4471689.759323155;-3.76790106233856;40.3932602072684
10;745;"PADRE PIQUER, 36 - P.P.";"15/09/1977";434859.072289952;4471591.401644103;-3.76754200033428;40.39237648116501
10;1745;"AV. POBLADOS - INTERCAMBIADO ALUCHE - CARRIL BICI-P.P.";"11/02/2003";435491.514468976;4470677.224099676;-3.75999811207554;40.3841904227851
10;2048;"MAQUEDA 10 - MAQUEDA";"29/05/2008";435101.071889771;4471759.778721877;-3.764707969465;40.39391217736285
10;1731;"AV. LAS AGUILAS - DR. BLANCO SOLER";"30/10/2002";434822.757947862;4470628.616432834;-3.7678713379924;40.38370049940414
10;1732;"AV. LAS AGUILAS - ANSELMO LORENZO - P.P.";"30/10/2002";434650.850596823;4470584.98335169;-3.76989197831261;40.38329397032871
12;714;"AV. ROSALES - COLONIA SAN FERMIN";"25/11/1976";441255.646473744;4468818.58017946;-3.69192238465365;40.36787307345365
10;998;"AV. LAS AGUILAS - JOSE CADALSO";"09/03/1981";434464.248669686;4470530.404407833;-3.77208457191634;40.38278764593546
10;1880;"AV. LAS AGUILAS -  BLAS CABRERA";"23/03/2005";434168.841148745;4470455.600622956;-3.77555677349479;40.38209049794349
10;1733;"AV. LAS AGUILAS - CENTRO SALUD - P.P.";"30/10/2002";434043.592254883;4470423.418806347;-3.77702887086801;40.38179068720187
5;4556;"VELAZQUEZ -RODRIGUEZ MARIN";"29/04/2019";442117.953328609;4477282.110594117;-3.68253610553634;40.44417735060155
5;226;"SERRANO - CONCHA ESPINA";"30/05/1967";442280.227706359;4478151.644473555;-3.68070174690664;40.4520217985106
5;221;"SERRANO - SEGRE - CINCA";"06/05/1967";442136.421173404;4477953.911673019;-3.682379556049;40.4502305321678
10;4538;"PSO. EXTREMADURA - AV. POBLADOS";"15/01/2019";434598.604039231;4471819.751506031;-3.77063423181365;40.3944131308031
10;4838;"AVDA. POBLADOS - FLOR DEL CORAL";"26/02/2025";434671.957191908;4471591.47993624;-3.76974655826669;40.39236253192288
